origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,74.82,0
Algeria,9,188.62666666666667,0
Angola,1,243.52,0
Argentina,16,127.7875,5
Australia,68,98.34029411764706,27
Austria,86,172.1536046511628,10
Azerbaijan,2,148.27,0
Bahrain,9,234.8988888888889,0
Bangladesh,4,233.01999999999998,0
Belgium,23,135.39347826086959,7
Belize,1,1.29,1
Bolivia,2,147.38,0
Brazil,142,181.9925352112676,3
Brunei Darussalam,1,268.1,0
Bulgaria,6,173.13666666666666,1
Cambodia,1,246.42,0
Canada,503,151.32465208747516,54
Chile,40,174.97025,3
China,124,209.90112903225807,6
Colombia,14,83.65928571428572,4
Croatia,6,163.205,1
Cyprus,1,0.0,1
Czech Republic,14,182.76785714285714,1
Côte d'Ivoire,1,127.0,0
Denmark,19,172.52263157894737,2
Dominican Republic,1,204.46,0
Egypt,35,220.56914285714285,0
Estonia,9,57.15111111111111,7
Ethiopia,20,187.0045,3
Fiji,1,0.0,1
Finland,53,172.14962264150944,10
France,114,191.1625438596491,0
Georgia,5,107.28800000000001,3
Germany,185,164.40627027027028,30
Greece,41,179.12024390243903,1
Guatemala,7,28.109999999999996,3
Hungary,55,183.1170909090909,2
Iceland,6,134.15,1
India,105,180.29066666666668,14
Indonesia,11,239.16272727272727,0
Iraq,1,219.89,0
Ireland,295,183.2991186440678,25
Islamic Republic of Iran,3,160.37,0
Israel,29,189.0858620689655,5
Italy,12,124.43833333333333,3
Japan,43,201.79116279069768,4
Jordan,9,226.5,0
Kenya,3,225.97666666666666,0
Kingdom of the Netherlands,54,167.26055555555556,9
Kuwait,8,233.5775,0
Latvia,21,170.2952380952381,4
Lebanon,3,208.5666666666667,0
Libyan Arab Jamahiriya,1,186.4,0
Lithuania,7,63.05285714285714,4
Luxembourg,21,208.67714285714288,1
Malaysia,29,212.85,1
Maldives,1,234.85,0
Malta,167,189.57221556886228,6
Mauritius,2,169.265,0
Mexico,84,165.5202380952381,10
Montenegro,1,9.77,1
Morocco,31,202.9748387096774,1
Nepal,4,216.2425,0
New Zealand,38,105.65552631578947,8
Norway,36,162.08388888888888,1
Oman,4,258.125,0
Pakistan,5,170.036,1
Panama,12,196.95166666666668,0
Philippines,17,207.70352941176472,1
Poland,92,191.4186956521739,8
Portugal,54,188.49555555555557,5
Qatar,77,211.64194805194805,4
Republic of Korea,72,216.44388888888886,3
Republic of Moldova,5,229.738,0
Romania,13,202.90384615384616,0
Russian Federation,32,178.78375,5
Saint Vincent and the Grenadines,1,73.87,0
San Marino,4,120.5375,1
Saudi Arabia,16,209.883125,1
Serbia,6,146.98499999999999,1
Singapore,23,258.8213636363636,0
Slovakia,2,232.705,0
South Africa,9,148.73555555555555,1
Spain,157,173.72808917197452,14
Sri Lanka,4,226.565,0
Sweden,68,170.16279411764705,3
Switzerland,59,145.5564406779661,16
Syrian Arab Republic,2,204.03,0
Taiwan,27,188.04259259259257,1
Thailand,40,204.45525,2
Trinidad and Tobago,2,126.30000000000001,0
Tunisia,9,233.25444444444443,0
Turkey,241,205.92585062240664,3
Turkmenistan,1,242.96,0
Uganda,1,237.72,0
Ukraine,2,236.91,0
United Arab Emirates,94,202.32797872340427,5
United Kingdom,308,177.57201298701298,31
United Republic of Tanzania,1,252.51,0
United States,6256,142.35963235294116,474
Uzbekistan,4,169.31,1
Viet Nam,21,217.7004761904762,1
