icao24,origin_country,velocity,on_ground
39de4f,France,222.26,False
39de4e,France,229.53,False
c07d0b,Canada,25.33,False
ab1644,United States,66.27,False
80162c,India,197.86,False
ac96b8,United States,5.14,True
a6fe0e,United States,260.91,False
801638,India,0.0,True
aa56db,United States,81.98,False
a2e5ec,United States,193.44,False
a7250f,United States,51.3,False
39de4b,France,217.48,False
7c6b2d,Australia,208.23,False
39de4d,France,226.9,False
408121,United Kingdom,219.74,False
aa9321,United States,136.33,False
39de4c,France,236.45,False
39de57,France,225.18,False
a47551,United States,62.21,False
c047d1,Canada,65.16,False
a3feee,United States,54.79,False
a57b1e,United States,61.72,False
440da5,Austria,197.02,False
a9f065,United States,88.9,False
39de51,France,183.35,False
a59545,United States,57.85,False
39de50,France,71.3,False
39de53,France,217.66,False
a305fd,United States,162.68,False
39de55,France,181.02,False
39de54,France,231.96,False
a34230,United States,183.71,False
aa56d8,United States,210.37,False
4b1803,Switzerland,189.57,False
4b1804,Switzerland,141.97,False
a34e6a,United States,0.0,True
4b1806,Switzerland,217.1,False
4b1807,Switzerland,2.31,True
aa56d5,United States,207.08,False
a0e279,United States,63.1,False
80163c,India,150.08,False
aaf62b,United States,54.44,False
4b1800,Switzerland,103.24,False
4b1801,Switzerland,233.25,False
4b1802,Switzerland,128.9,False
a5820f,United States,47.82,False
acdfa6,United States,4.12,True
a928c7,United States,0.06,True
ab76e6,United States,156.85,False
ac4963,United States,227.29,False
a9a0fb,United States,30.36,False
ac1c0b,United States,50.28,False
aae316,United States,220.62,False
4952cc,Portugal,208.73,False
7c6b38,Australia,59.16,True
80163f,India,251.23,False
a58224,United States,121.52,False
7c6b37,Australia,0.06,True
7c6b36,Australia,0.06,False
4952cf,Portugal,67.08,False
a928ba,United States,240.02,False
a36898,United States,129.29,False
a665c5,United States,149.7,False
acdfa3,United States,269.18,False
a10e8b,United States,136.55,False
a1c5f2,United States,44.18,False
a1befb,United States,50.67,False
7c6b0e,Australia,2.06,True
0d0c14,Mexico,226.47,False
a23565,United States,47.21,False
a3f2d5,United States,54.23,False
7c6b0c,Australia,231.15,False
a70b23,United States,179.08,False
7c6b0b,Australia,196.39,False
abacb6,United States,216.52,False
ae26b2,United States,31.19,False
4952d0,Portugal,226.36,False
a2cbb5,United States,52.54,False
801622,India,210.24,False
80160e,India,106.38,False
7c2edb,Australia,62.11,False
a21b44,United States,176.95,False
aaa6dd,United States,231.74,False
0d0c0f,Mexico,217.36,False
aaf656,United States,125.0,False
aa56b5,United States,81.69,False
a46e40,United States,203.98,False
aa56b8,United States,242.68,False
47be7c,Norway,126.46,False
a57b4d,United States,245.33,False
a8e39a,United States,55.71,False
a1fb33,United States,254.02,False
ad5623,United States,73.06,False
aa56b4,United States,262.94,False
ac231d,United States,58.19,False
a6c8cd,United States,247.19,False
4952c1,Portugal,208.24,False
4952c2,Portugal,233.48,False
440daf,Austria,80.25,False
4952c3,Portugal,240.93,False
a1c5e0,United States,225.56,False
4952c4,Portugal,188.97,False
801626,India,124.29,False
acdfab,United States,121.41,False
4952c6,Portugal,9.26,True
a282ad,United States,58.15,False
39de48,France,227.31,False
a2ded8,United States,217.82,False
ac2f5a,United States,6.94,True
ab63d7,United States,255.74,False
ad694c,United States,233.63,False
a46e35,United States,230.35,False
a34e4f,United States,66.09,False
a34215,United States,0.0,True
39de40,France,204.97,False
39de42,France,234.62,False
4952ac,Portugal,242.62,False
7c6b14,Australia,0.19,True
39de41,France,213.08,False
407a01,United Kingdom,151.72,False
39de44,France,200.61,False
3c6668,Germany,8.75,True
44028c,Austria,213.81,False
acd3a4,United States,64.9,False
a2228a,United States,78.45,False
ab0356,United States,277.44,False
a2228b,United States,6.43,True
e8023a,Chile,161.86,False
511189,Estonia,0.0,True
a2d2fc,United States,43.29,False
4952b2,Portugal,225.02,False
e4943e,Brazil,198.4,False
4b1857,Switzerland,234.75,False
4acb02,Sweden,243.64,False
aadc62,United States,86.02,False
ad4f72,United States,0.0,True
4acb04,Sweden,171.12,False
3c664e,Germany,227.94,False
ab63e8,United States,85.4,False
51116f,Estonia,246.89,False
ad3c1f,United States,274.29,False
e49443,Brazil,212.03,False
4bc8c7,Turkey,116.26,False
e49444,Brazil,254.77,False
a45b78,United States,37.56,False
ac83c4,United States,37.27,False
ab0361,United States,232.47,False
abb3b6,United States,219.47,False
4bc8c1,Turkey,194.84,False
a7bc8e,United States,240.8,False
a6f0f5,United States,28.34,False
4952a8,Portugal,243.96,False
e8024c,Chile,231.06,False
a1fb99,United States,109.21,False
aae356,United States,209.32,False
e8024a,Chile,222.7,False
e4944f,Brazil,245.04,False
4952a3,Portugal,231.45,False
4952a5,Portugal,265.48,False
ab63f3,United States,28.67,False
a03d0a,United States,94.14,False
e80267,Chile,5.92,True
ad563d,United States,226.48,False
e49450,Brazil,233.72,False
4bc8d5,Turkey,200.1,False
4bc8d3,Turkey,225.34,False
ac83d5,United States,3.86,True
4bc8d4,Turkey,196.81,False
ad4341,United States,74.08,False
a34e9d,United States,211.75,False
a963f7,United States,177.26,False
accccd,United States,65.26,False
